transaction_id,customer_id,age,gender,marital_status,employment_status,income_bracket,account_tenure_months,credit_limit,avg_monthly_spend,card_type,card_issuer,has_addon_card,is_blocked,transaction_time,transaction_dayofweek,transaction_hour,transaction_amount,currency,merchant_name,merchant_category_code,merchant_country,transaction_channel,entry_mode,otp_used,geo_latitude,geo_longitude,txns_last_1hr,txns_last_24hr,amount_last_24hr,txn_gap_minutes,txn_amount_to_avg_ratio,distance_from_home_km,usual_txn_hour_range,is_first_txn_today,is_night_txn,device_id,ip_address,device_type,device_change_flag,is_device_blacklisted,location_city,prior_fraud_count,rule_hit_flag,rule_hit_code,manual_review_flag,fraud_flag
9e3d0030-7a4a-4054-82c5-e4dfdfcb53c1,CUST3318,18,M,Married,Self-employed,<25K,32,50000,36160.74,Signature,Amex,Yes,No,2024-01-28 19:23:09,Sunday,19,37909.75,INR,Watson-Sanders,5812,IN,ecom,contactless,Yes,24.5378,82.7777,4,1,40826.12,78,1.05,32.5,8-20,Yes,No,5640e120,200.170.206.144,iOS,Yes,No,Sharonfurt,0,No,,Yes,0
618c48b9-b994-4a99-b816-c319be128d4d,CUST2480,46,F,Single,Student,50K-1L,23,100000,41704.14,Gold,Amex,Yes,No,2025-05-02 22:17:36,Friday,22,10221.98,INR,"Nguyen, Banks and Jones",5999,IN,ecom,contactless,Yes,19.7296,84.9088,4,12,38129.3,77,0.25,11.51,8-20,Yes,No,ec01afdb,204.245.158.247,Windows,Yes,No,Emilychester,0,No,,No,0
0a3321df-4e31-4f6e-8883-7cc4b92d17ee,CUST1323,19,F,Married,Salaried,<25K,85,25000,24769.46,Platinum,Visa,No,No,2025-04-11 01:50:24,Friday,1,34415.08,INR,Anderson-Rodgers,5411,IN,POS,manual,Yes,21.8814,76.0448,5,14,14813.58,114,1.39,265.27,9-18,No,Yes,0dbda38e,154.237.177.22,Android,No,No,Michelleberg,0,No,,No,0
8fbc58a3-ccfe-4cfd-a53f-73a1a5dccb6a,CUST1034,35,F,Divorced,Student,>1L,56,150000,22684.27,Platinum,MasterCard,No,No,2024-12-26 01:44:06,Thursday,1,190097.15,INR,Gonzales LLC,5311,IN,MobileApp,swipe,Yes,26.7846,80.7944,0,9,49394.61,46,8.38,852.83,8-20,Yes,Yes,d96fd2d9,131.251.164.68,iOS,No,No,North Michelleland,0,No,,No,0
015252cf-61b8-4082-96e9-ccc1848ba378,CUST7614,60,F,Divorced,Unemployed,50K-1L,67,25000,38027.83,Signature,RuPay,Yes,No,2024-02-06 03:15:45,Tuesday,3,19571.04,INR,"Bennett, Fletcher and Walker",5944,IN,POS,contactless,Yes,15.6721,87.8333,3,4,41262.31,120,0.51,906.08,9-18,No,Yes,ec446ef3,76.244.92.165,Android,No,No,Krystalburgh,0,Yes,RULE_24,No,0
3561789f-b140-49e0-b7c2-ea012644c724,CUST4067,31,F,Divorced,Self-employed,<25K,94,150000,30075.0,Titanium,Amex,No,No,2024-07-10 07:32:29,Wednesday,7,63292.51,INR,"Jordan, Boone and Clay",5999,IN,POS,contactless,Yes,12.9473,73.9815,1,11,13126.95,54,2.1,762.99,10-22,Yes,No,b54db4bd,208.190.163.233,Unknown,Yes,No,New Crystal,0,No,,No,0
a7c9689e-47a6-430b-9b03-c4ce08ef8206,CUST2639,23,M,Divorced,Unemployed,<25K,55,100000,47059.47,Signature,MasterCard,Yes,No,2024-11-18 21:59:08,Monday,21,110861.21,INR,"Clark, Burgess and Miller",5944,IN,POS,manual,Yes,15.9422,85.6281,1,2,36755.79,26,2.36,827.36,9-18,No,No,efea2053,44.63.107.44,iOS,No,No,Lake Joshua,0,No,,No,0
2a398f1a-e5b8-4bef-aa17-3ace919866c4,CUST9426,34,F,Divorced,Unemployed,25K-50K,95,50000,8299.37,Signature,MasterCard,Yes,No,2024-09-01 09:37:15,Sunday,9,21546.37,INR,Moses-Bryant,5944,IN,POS,manual,Yes,22.0109,82.9128,0,13,39967.75,27,2.6,955.24,10-22,No,No,d703ccb5,110.35.73.19,Android,Yes,No,New Elizabethberg,0,Yes,RULE_20,No,0
9d411155-0311-4e1e-a3d2-34805142e003,CUST4454,51,F,Divorced,Salaried,25K-50K,36,25000,38867.27,Platinum,MasterCard,No,No,2024-10-16 21:59:25,Wednesday,21,26463.1,INR,Norris-Obrien,5311,IN,ATM,chip,Yes,18.3772,79.684,2,6,25044.1,120,0.68,894.32,9-18,Yes,No,79527b6d,112.175.71.202,MacOS,No,No,North Tamara,0,No,,Yes,0
1403a2fa-38de-408b-b24e-23386a1d36f4,CUST6489,52,F,Single,Self-employed,>1L,69,150000,44164.14,Gold,MasterCard,Yes,No,2024-02-19 04:02:08,Monday,4,75917.32,INR,Hubbard-Martinez,5944,IN,ATM,swipe,Yes,21.0354,82.3865,3,14,2902.91,37,1.72,40.32,8-20,No,Yes,73415e6a,121.252.105.123,MacOS,No,No,Luishaven,0,No,,Yes,0
b02c46e3-d1bf-452d-a047-b78ee9628ccd,CUST1784,18,F,Divorced,Student,50K-1L,8,150000,40498.44,Signature,RuPay,No,No,2025-05-08 00:25:59,Thursday,0,60772.39,INR,"Porter, Johnson and Dalton",6011,IN,ecom,manual,Yes,25.4511,87.9006,1,8,13042.15,114,1.5,504.1,10-22,Yes,Yes,f9b03e76,206.206.176.126,Windows,No,No,Amyland,0,No,,No,0
ed0973b1-b8f0-49ce-9da1-e82bd7ca517c,CUST3061,49,F,Divorced,Unemployed,25K-50K,68,25000,6025.85,Platinum,Visa,No,No,2024-01-02 16:47:32,Tuesday,16,4149.41,INR,Allen PLC,5944,IN,POS,chip,Yes,13.953,83.2661,3,8,2347.87,49,0.69,367.24,8-20,No,No,6075ff94,1.219.202.52,iOS,No,No,Meredithburgh,0,Yes,RULE_23,Yes,0
f9ba9c54-6b01-4a92-b8b5-fe97b42fd88a,CUST6384,30,F,Divorced,Salaried,50K-1L,103,150000,27517.07,Gold,Amex,Yes,No,2025-01-23 06:08:06,Thursday,6,186014.58,INR,Murray-Wilson,5311,IN,ecom,manual,Yes,13.1016,73.3923,0,14,49998.33,79,6.76,37.43,9-18,Yes,No,eeefef48,167.139.250.20,Unknown,Yes,No,Alyssaburgh,0,No,,No,0
7399a1e3-f9b2-4ade-a623-81761ad42ec0,CUST7944,47,F,Divorced,Salaried,25K-50K,113,50000,36044.6,Signature,MasterCard,Yes,No,2024-12-03 03:20:49,Tuesday,3,14934.28,INR,Rodriguez-Holmes,5732,IN,MobileApp,contactless,Yes,13.6933,79.3285,3,7,33722.79,27,0.41,378.64,10-22,Yes,Yes,60d47534,61.244.17.77,MacOS,Yes,No,Port Debraville,0,Yes,RULE_4,Yes,0
e60a59cf-f2ec-4356-9b7f-c72a2a326b63,CUST1610,21,F,Divorced,Student,25K-50K,92,200000,42735.85,Gold,MasterCard,No,No,2023-12-09 12:15:36,Saturday,12,90868.98,INR,Jenkins-Thompson,6011,IN,POS,manual,Yes,13.0956,80.4126,0,10,24781.69,108,2.13,388.17,10-22,No,No,96860be7,154.63.157.175,Windows,Yes,No,New Matthew,0,No,,No,0
d31fc0a8-c9d1-4d6f-9d95-f09d9e675ddc,CUST8070,68,F,Divorced,Unemployed,>1L,96,100000,48090.02,Gold,MasterCard,No,No,2024-06-18 21:20:21,Tuesday,21,38000.21,INR,Jackson-Vega,5999,IN,POS,manual,Yes,20.0237,75.3315,3,1,30637.5,119,0.79,339.58,8-20,Yes,No,c7ab3a4b,98.193.249.233,iOS,Yes,No,Foleymouth,0,Yes,RULE_21,Yes,0
30f7d016-03f9-445f-a058-ee304754ae23,CUST7210,61,M,Divorced,Unemployed,50K-1L,34,50000,8826.82,Platinum,Amex,No,No,2024-06-25 02:07:38,Tuesday,2,36886.32,INR,Romero-Monroe,6011,IN,POS,swipe,Yes,15.6765,84.7064,4,20,39521.34,41,4.18,379.76,9-18,Yes,Yes,4774bd54,111.82.69.57,Unknown,No,No,Michaelmouth,0,No,,No,0
e6900006-fc48-4d64-9007-a3684f2b1b6f,CUST1600,39,F,Divorced,Unemployed,>1L,104,150000,41931.13,Titanium,Visa,Yes,No,2024-01-17 16:50:04,Wednesday,16,68030.86,INR,Russell-Newman,6011,AE,MobileApp,swipe,No,23.8602,76.9518,10,3,15144.65,29,1.62,817.38,10-22,Yes,No,16eebb8c,130.46.167.216,iOS,Yes,No,Port Sean,1,Yes,RULE_16,Yes,1
a660caba-d76f-4046-9319-1c88e89f4416,CUST7830,69,F,Single,Student,50K-1L,87,25000,40745.46,Platinum,RuPay,Yes,No,2025-04-12 01:14:30,Saturday,1,843.26,INR,"Edwards, Phillips and Johns",5944,IN,POS,manual,Yes,22.7784,83.2452,2,17,43899.89,99,0.02,527.52,9-18,No,Yes,d214b858,77.17.53.79,MacOS,No,No,South Jennifer,0,No,,Yes,0
e6bbbde3-134e-462c-b33e-b9b0352d7f2b,CUST7595,40,M,Single,Salaried,50K-1L,22,150000,22059.57,Platinum,Amex,Yes,No,2025-02-27 09:37:02,Thursday,9,177652.63,INR,Ford-Jensen,5411,IN,MobileApp,chip,Yes,17.0081,83.6464,4,6,42668.39,50,8.05,930.03,9-18,Yes,No,81ee0a02,58.193.181.26,Android,No,No,Ayalaton,0,No,,Yes,0
048c5aec-331c-44c2-9417-86d21c223469,CUST8755,43,F,Divorced,Unemployed,50K-1L,56,25000,10368.02,Titanium,RuPay,Yes,No,2024-02-01 09:54:01,Thursday,9,33504.0,INR,"Snow, Booth and Garcia",5999,BR,POS,manual,Yes,26.9757,77.7431,10,10,12896.56,56,3.23,355.62,8-20,Yes,No,c6865e0a,107.115.58.43,MacOS,Yes,No,Taylorstad,2,Yes,RULE_8,Yes,1
848c7fc8-5ad3-4ed7-b729-7ce88e4ffd59,CUST2031,61,M,Single,Salaried,25K-50K,110,25000,36909.5,Titanium,Visa,No,No,2024-01-15 03:14:25,Monday,3,31155.03,INR,Rodriguez-Bryan,5999,IN,ATM,contactless,Yes,21.6002,86.73,4,18,4055.12,35,0.84,396.83,10-22,No,Yes,53ffd2e1,70.103.250.96,Unknown,No,No,New Kayla,0,No,,Yes,0
f9719c80-5e63-49e2-8fa1-f3db55140aa9,CUST4216,54,M,Divorced,Student,25K-50K,40,50000,21264.89,Signature,MasterCard,No,No,2024-02-23 03:38:46,Friday,3,11832.75,INR,Zamora Ltd,5999,IN,MobileApp,manual,Yes,24.4057,79.7948,2,12,19672.16,83,0.56,988.47,9-18,Yes,Yes,d2f2e1d0,53.44.51.183,Windows,No,No,New Michael,0,No,,Yes,0
937f8748-f922-4808-bc17-63be937bcfa8,CUST6656,38,M,Divorced,Student,<25K,120,100000,43952.76,Titanium,Amex,Yes,No,2025-04-06 11:02:47,Sunday,11,47218.44,INR,"Hernandez, Rios and Hernandez",5944,IN,POS,chip,Yes,16.7374,85.4126,5,19,49554.87,86,1.07,559.5,10-22,Yes,No,73b4e4bb,128.234.5.144,iOS,No,No,Moranshire,0,No,,Yes,0
e7c6e99a-d8ad-4ca5-8ad1-b8a66bc33b80,CUST9567,22,F,Single,Salaried,>1L,118,100000,43590.61,Gold,Amex,No,No,2024-03-12 09:40:28,Tuesday,9,39742.94,INR,"Ortiz, Nunez and Parsons",5411,IN,ATM,contactless,Yes,14.0187,87.7847,5,13,21558.23,91,0.91,337.09,8-20,Yes,No,212190bc,160.148.183.121,Unknown,No,No,East Brian,0,Yes,RULE_6,No,0
15f18dd2-ffeb-4fd2-b487-d84b9410cc46,CUST9800,31,F,Married,Salaried,25K-50K,45,100000,31246.9,Titanium,MasterCard,Yes,Yes,2024-04-05 20:20:07,Friday,20,39459.76,INR,Parrish-Best,5812,IN,ATM,manual,No,15.8523,87.1363,3,20,7860.24,104,1.26,823.71,10-22,Yes,No,e865bb01,170.46.51.137,Windows,Yes,No,Hayleyland,3,Yes,RULE_11,Yes,1
cd0f0071-17ac-434d-a287-661243acbbe7,CUST8687,39,M,Single,Salaried,>1L,8,50000,35182.04,Titanium,MasterCard,Yes,No,2024-05-09 13:59:25,Thursday,13,37464.44,INR,"Davis, Carter and Haynes",5812,IN,POS,contactless,Yes,13.7126,86.8107,1,15,38285.49,118,1.06,345.91,8-20,Yes,No,aa97802d,26.254.111.63,iOS,No,No,Port Jeffrey,0,No,,Yes,0
